family_id,location,province,core_region,is_focal_family,unweighted_degree,weighted_degree,betweenness,eigenvector,component_id,in_giant_component
张氏（安徽桐城）,安徽桐城,安徽,安徽,TRUE,57,309,0.04160513229308409,0.9841886928019608,3,TRUE
姚氏（安徽桐城）,安徽桐城,安徽,安徽,TRUE,48,307,0.07268228697937931,1,3,TRUE
陈氏（浙江海宁）,浙江海宁,浙江,浙江,TRUE,126,246,0.2812496797852322,0.00217451304195649,3,TRUE
方氏（安徽桐城）,安徽桐城,安徽,安徽,TRUE,66,194,0.15321959374336408,0.47668811589844645,3,TRUE
庄氏（江苏武进）,江苏武进,江苏,江苏,TRUE,72,169,0.1566226392795853,0.015781004408150043,3,TRUE
任氏（江苏宜兴）,江苏宜兴,江苏,江苏,TRUE,44,114,0.05172720243309628,6.210292185395716e-4,3,TRUE
孔氏（山东曲阜）,山东曲阜,山东,Other,TRUE,54,109,0.2318450898461516,0.022336158131806495,3,TRUE
许氏（浙江钱塘）,浙江钱塘,浙江,浙江,TRUE,59,100,0.055989564333570656,0.002491507928707548,3,TRUE
潘氏（江苏吴县）,江苏吴县,江苏,江苏,TRUE,39,89,0.0487007655410064,0.0027276092801936723,3,TRUE
汪氏（浙江钱塘）,浙江钱塘,浙江,浙江,TRUE,44,88,0.07108474569154401,9.25667534335615e-5,3,TRUE
查氏（浙江海宁）,浙江海宁,浙江,浙江,TRUE,36,81,0.08089706570541669,0.0027173692373456465,3,TRUE
储氏（江苏宜兴）,江苏宜兴,江苏,江苏,TRUE,30,62,0.05162858313071375,2.080170300339165e-4,3,TRUE
吕氏（江苏阳湖）,江苏阳湖,江苏,江苏,TRUE,30,62,0.021450839272718243,0.0030159520740696377,3,TRUE
彭氏（江苏长洲）,江苏长洲,江苏,江苏,TRUE,33,59,0.06508654884380187,8.188731585042969e-4,3,TRUE
吴氏（浙江钱塘）,浙江钱塘,浙江,浙江,TRUE,37,56,0.036455199279177224,9.539956883823148e-5,3,TRUE
陈氏（江西新城）,江西新城,江西,Other,TRUE,35,56,0.02631757952961223,0.005237096421262554,3,TRUE
钱氏（浙江秀水）,浙江秀水,浙江,浙江,TRUE,33,52,0.02153917388638905,2.9199557659207267e-4,3,TRUE
赵氏（江苏阳湖）,江苏阳湖,江苏,江苏,TRUE,22,49,0.04934429208839335,0.0010854276813280206,3,TRUE
朱氏（浙江海盐）,浙江海盐,浙江,浙江,TRUE,26,48,0.02690664169340299,8.160195246573699e-4,3,TRUE
顾氏（江苏长洲）,江苏长洲,江苏,江苏,TRUE,25,47,0.019764713002221115,0.005042713676018275,3,TRUE
李氏（安徽合肥）,安徽合肥,安徽,安徽,TRUE,22,44,0.020390658952015646,6.315545379311057e-5,3,TRUE
王氏（江苏华亭）,江苏华亭,江苏,江苏,TRUE,19,42,0.016202236752230138,4.90105270312655e-4,3,TRUE
刘氏（江苏武进）,江苏武进,江苏,江苏,TRUE,21,41,0.01021600675985844,0.0031040860894766876,3,TRUE
方氏（江苏阳湖）,江苏阳湖,江苏,江苏,TRUE,30,39,0.011263083784691902,3.655656639707965e-4,3,TRUE
许氏（浙江海宁）,浙江海宁,浙江,浙江,TRUE,23,39,0.018892387665138722,3.782158011332849e-4,3,TRUE
金氏（浙江仁和）,浙江仁和,浙江,浙江,TRUE,22,38,0.014491085970673992,2.6142842764366914e-4,3,TRUE
朱氏（江苏宝应）,江苏宝应,江苏,江苏,TRUE,12,34,0.01351515285946229,2.2021168495491616e-4,3,TRUE
林氏（福建侯官）,福建侯官,福建,Other,TRUE,15,34,0.014162933071687306,5.751234495577331e-6,3,TRUE
秦氏（江苏无锡）,江苏无锡,江苏,江苏,TRUE,23,34,0.011323995169808402,9.652001287206075e-5,3,TRUE
梁氏（福建长乐）,福建长乐,福建,Other,TRUE,20,33,0.02524851306573399,9.66584294538243e-5,3,TRUE
沈氏（浙江嘉兴）,浙江嘉兴,浙江,浙江,TRUE,24,32,0.008690374184672405,7.465018867525202e-5,3,TRUE
张氏（江苏娄县）,江苏娄县,江苏,江苏,TRUE,20,31,0.02007651758849335,2.5336200936173126e-4,3,TRUE
陶氏（湖南安化）,湖南安化,湖南,Other,TRUE,15,31,0.03648494907027451,2.2414026035172488e-4,3,TRUE
汪氏（浙江秀水）,浙江秀水,浙江,浙江,TRUE,16,30,0.013465085581271978,9.78063623969693e-5,3,TRUE
王氏（江苏太仓）,江苏太仓,江苏,江苏,TRUE,20,30,0.010189718015794968,3.1826472873573415e-4,3,TRUE
马氏（安徽桐城）,安徽桐城,安徽,安徽,TRUE,4,30,6.144993924835551e-4,0.12097420265518806,3,TRUE
吴氏（江苏吴县）,江苏吴县,江苏,江苏,TRUE,17,29,0.006789205074932505,1.62809312645245e-4,3,TRUE
张氏（浙江钱塘）,浙江钱塘,浙江,浙江,TRUE,20,28,0.004733799538650797,1.5434942505027278e-4,3,TRUE
童氏（浙江鄞县）,浙江鄞县,浙江,浙江,TRUE,18,28,0.0089572049369166,4.157796354175821e-6,3,TRUE
刘氏（江苏宝应）,江苏宝应,江苏,江苏,TRUE,7,27,0.007001842676654198,1.1279809725745507e-4,3,TRUE
钱氏（江苏武进）,江苏武进,江苏,江苏,TRUE,10,27,0.008120620425313542,0.0010163366911871401,3,TRUE
陈氏（浙江钱塘）,浙江钱塘,浙江,浙江,TRUE,21,27,0.010741097038417807,6.020667191977528e-5,3,TRUE
左氏（江苏阳湖）,江苏阳湖,江苏,江苏,TRUE,16,26,0.011515839105218782,4.4399311340889724e-4,3,TRUE
徐氏（江苏昆山）,江苏昆山,江苏,江苏,TRUE,16,26,0.02691295112237876,0.005227029664839849,3,TRUE
左氏（安徽桐城）,安徽桐城,安徽,安徽,TRUE,7,25,0.0012287249438831158,0.08873883228209166,3,TRUE
张氏（直隶南皮）,直隶南皮,直隶,Other,TRUE,14,25,0.024871319792621978,7.504813522213604e-6,3,TRUE
杨氏（江苏常熟）,江苏常熟,江苏,江苏,TRUE,14,25,0.014528719342311603,0.0047727537886300625,3,TRUE
程氏（江西新建）,江西新建,江西,Other,TRUE,15,25,0.01362901598218717,6.672448848119722e-5,3,TRUE
纪氏（直隶献县）,直隶献县,直隶,Other,TRUE,12,25,0.035855542073446184,2.2329411395681376e-4,3,TRUE
朱氏（浙江平湖）,浙江平湖,浙江,浙江,TRUE,14,24,0.00975161792158451,0.0049782450195194105,3,TRUE
孙氏（浙江仁和）,浙江仁和,浙江,浙江,TRUE,13,23,0.004008668348233484,5.423908699043599e-6,3,TRUE
曾氏（湖南湘乡）,湖南湘乡,湖南,Other,TRUE,16,23,0.007898908034336148,3.445023280314824e-7,3,TRUE
沈氏（浙江归安）,浙江归安,浙江,浙江,TRUE,18,23,0.014922635394953733,2.0553646866836936e-4,3,TRUE
万氏（江苏宜兴）,江苏宜兴,江苏,江苏,TRUE,7,22,0.008664605738668524,9.659749445274812e-5,3,TRUE
张氏（浙江海盐）,浙江海盐,浙江,浙江,TRUE,10,22,0.0051049454878246145,1.5091611797920132e-4,3,TRUE
朱氏（直隶大兴）,直隶大兴,直隶,Other,TRUE,17,22,0.011263010760402833,1.4430773256569453e-5,3,TRUE
汪氏（江苏新阳）,江苏新阳,江苏,江苏,TRUE,3,22,6.144993924835551e-4,2.666093565803099e-4,3,TRUE
范氏（浙江鄞县）,浙江鄞县,浙江,浙江,TRUE,8,22,0.019662200592427806,2.6294527765760826e-6,3,TRUE
蒋氏（浙江海宁）,浙江海宁,浙江,浙江,TRUE,14,22,0.014297516836434447,7.710280266918747e-5,3,TRUE
阮氏（江苏仪征）,江苏仪征,江苏,江苏,TRUE,12,22,0.012352932830837556,2.827456537587228e-4,3,TRUE
吴氏（安徽桐城）,安徽桐城,安徽,安徽,TRUE,7,21,0.003198600781597222,0.05870517170236054,3,TRUE
曹氏（江苏上海）,江苏上海,江苏,江苏,TRUE,12,21,0.006693780585196572,8.202166042314833e-6,3,TRUE
沈氏（浙江钱塘）,浙江钱塘,浙江,浙江,TRUE,18,21,0.009220594419538599,8.472123923930269e-5,3,TRUE
许氏（浙江德清）,浙江德清,浙江,浙江,TRUE,12,21,0.005720015382566492,0.004921617769589549,3,TRUE
陆氏（浙江桐乡）,浙江桐乡,浙江,浙江,TRUE,14,21,0.008330003882153767,5.265246281296035e-5,3,TRUE
华氏（江苏无锡）,江苏无锡,江苏,江苏,TRUE,14,20,0.004150061627935953,6.551277991239834e-5,3,TRUE
