family_A,family_B,weight,marriage_types,n_writing_records,source_lines,A_is_focal,B_is_focal,edge_scope
丁氏（上海南汇）,姚氏（不详）,1,娶,1,6823,FALSE,FALSE,external_to_nonfocal_family
丁氏（上海娄县）,陈氏（浙江兰溪）,1,适,1,6817,FALSE,FALSE,external_to_nonfocal_family
丁氏（山东日照）,刘氏（山东诸城）,1,娶,0,261,FALSE,TRUE,external_to_nonfocal_family
丁氏（山东日照）,费氏（江苏武进）,1,娶,0,893,FALSE,TRUE,external_to_nonfocal_family
丁氏（山东潍县）,陈氏（山东潍县）,1,娶,0,215,FALSE,TRUE,external_to_nonfocal_family
丁氏（广东丰顺）,桂氏（广东南海）,1,适,0,6325,FALSE,TRUE,external_to_nonfocal_family
丁氏（江苏上海）,姚氏（上海）,1,适,1,6795,FALSE,FALSE,external_to_nonfocal_family
丁氏（江苏丹徒）,徐氏（浙江海盐）,2,娶;适,0,620;4019,TRUE,TRUE,within_focal_network
丁氏（江苏丹徒）,蔡氏（江苏丹徒）,1,娶,0,618,TRUE,FALSE,external_to_nonfocal_family
丁氏（江苏丹徒）,邵氏（江苏常熟）,2,娶;适,0,619;1670,TRUE,TRUE,within_focal_network
丁氏（江苏吴县）,朱氏（浙江余姚）,1,适,0,5288,FALSE,TRUE,external_to_nonfocal_family
丁氏（江苏吴江）,许氏（江苏吴江）,1,娶,1,2165,FALSE,TRUE,external_to_nonfocal_family
丁氏（江苏宜兴）,言氏（江苏常熟）,1,娶,1,1680,FALSE,TRUE,external_to_nonfocal_family
丁氏（江苏山阳）,晏氏（江苏仪征）,2,娶;适,0,350;565,TRUE,TRUE,within_focal_network
丁氏（江苏山阳）,缪氏（江苏江阴）,2,娶;适,0,351;685,TRUE,TRUE,within_focal_network
丁氏（江苏无锡）,张氏（四川遂宁）,2,娶;适,0,1246;6485,TRUE,TRUE,within_focal_network
丁氏（江苏无锡）,杨氏（江西）,1,适,1,6639,TRUE,FALSE,external_to_nonfocal_family
丁氏（江苏无锡）,邹氏（江苏无锡）,1,适,1,1247,TRUE,TRUE,within_focal_network
丁氏（江苏无锡）,陈氏（福建侯官）,1,适,1,6628,TRUE,TRUE,within_focal_network
丁氏（江苏武进）,吕氏（江苏阳湖）,1,适,1,1175,TRUE,TRUE,within_focal_network
丁氏（江苏武进）,吴氏（江苏吴江）,1,娶,0,932,TRUE,TRUE,within_focal_network
丁氏（江苏武进）,吴氏（江苏武进）,1,适,0,933,TRUE,TRUE,within_focal_network
丁氏（江苏武进）,庄氏（江苏武进）,2,娶;适,0,789;930,TRUE,TRUE,within_focal_network
丁氏（江苏武进）,晏氏（江苏仪征）,2,娶;适,0,564;935,TRUE,TRUE,within_focal_network
丁氏（江苏武进）,杨氏（江苏常熟）,2,娶;适,0,934;1609,TRUE,TRUE,within_focal_network
丁氏（江苏武进）,沈氏（浙江嘉兴）,1,适,0,936,TRUE,TRUE,within_focal_network
丁氏（江苏武进）,瞿氏（江苏武进）,1,娶,0,937,TRUE,TRUE,within_focal_network
丁氏（江苏武进）,顾氏（江苏无锡）,2,娶;适,0,931;1279,TRUE,TRUE,within_focal_network
丁氏（江苏泰兴）,朱氏（不详）,1,娶,1,6769,FALSE,FALSE,external_to_nonfocal_family
丁氏（河南永城）,朱氏（浙江余姚）,1,娶,0,5291,FALSE,TRUE,external_to_nonfocal_family
丁氏（浙江仁和）,黄氏（浙江仁和）,1,娶,0,5000,FALSE,TRUE,external_to_nonfocal_family
丁氏（浙江嘉善）,周氏（浙江嘉善）,1,适,1,6920,FALSE,FALSE,external_to_nonfocal_family
丁氏（浙江嘉善）,胡氏（浙江秀水）,1,适,1,6941,FALSE,FALSE,external_to_nonfocal_family
丁氏（浙江归安）,陆氏（浙江桐乡）,1,适,0,3835,FALSE,TRUE,external_to_nonfocal_family
丁氏（浙江萧山）,姚氏（浙江山阴）,1,适,0,7115,FALSE,FALSE,external_to_nonfocal_family
丁氏（浙江钱塘兀283册）,魏氏（浙江钱塘）,1,适,1,4695,FALSE,TRUE,external_to_nonfocal_family
丁氏（浙江钱塘）,凌氏（不详）,1,娶,1,4719,TRUE,FALSE,external_to_nonfocal_family
丁氏（浙江钱塘）,厉氏（浙江钱塘）,1,娶,0,4802,TRUE,TRUE,within_focal_network
丁氏（浙江钱塘）,金氏（浙江钱塘）,1,娶,0,4721,TRUE,TRUE,within_focal_network
丁氏（浙江钱塘）,顾氏（浙江仁和88册）,1,适,0,4722,TRUE,FALSE,external_to_nonfocal_family
丁氏（浙江钱塘）,顾氏（浙江仁和）,1,娶,0,5209,TRUE,TRUE,within_focal_network
丁氏（浙江钱塘）,魏氏（浙江钱塘）,1,娶,1,4720,TRUE,TRUE,within_focal_network
丁氏（浙江长兴）,臧氏（浙江长兴）,1,适,0,6994,FALSE,FALSE,external_to_nonfocal_family
丁氏（福建侯官）,谢氏（谢章铤父）,1,娶,0,7249,FALSE,FALSE,external_to_nonfocal_family
万氏（广西灵川）,周氏（广西灵川）,2,娶;适,0,6393;6395,FALSE,TRUE,external_to_nonfocal_family
万氏（江苏宜兴工（《宜兴筱里任氏家谱》卷五之）,任氏（江苏宜兴）,1,娶,0,1445,FALSE,TRUE,external_to_nonfocal_family
万氏（江苏宜兴）,任氏（江苏宜兴）,14,娶;适,0,1313;1314;1315;1316;1317;1320;1321;1381;1416;1420;1425;1437;1442;1454,TRUE,TRUE,within_focal_network
万氏（江苏宜兴）,储氏（江苏宜兴工（《丰义储氏分支谱》卷七之四）,1,娶,0,1312,TRUE,FALSE,external_to_nonfocal_family
万氏（江苏宜兴）,储氏（江苏宜兴）,1,适,0,1341,TRUE,TRUE,within_focal_network
万氏（江苏宜兴）,吴氏（江苏宜兴工（《万氏宗谱与万树家世》）,1,娶,0,1309,TRUE,FALSE,external_to_nonfocal_family
万氏（江苏宜兴）,吴氏（江苏宜兴）,1,娶,0,1307,TRUE,TRUE,within_focal_network
万氏（江苏宜兴）,陈氏（江苏宜兴工（《万氏宗谱与万树家世》）,1,娶,0,1308,TRUE,FALSE,external_to_nonfocal_family
万氏（江苏宜兴）,陈氏（江苏宜兴）,3,娶;适,0,1310;1505;1507,TRUE,TRUE,within_focal_network
万氏（江西丰城）,刘氏（江西南丰）,1,适,0,5772,FALSE,TRUE,external_to_nonfocal_family
万氏（江西丰城）,孙氏（山东济宁）,1,娶,0,339,FALSE,TRUE,external_to_nonfocal_family
万氏（江西南昌）,许氏（浙江钱塘）,1,娶,0,4602,FALSE,TRUE,external_to_nonfocal_family
万氏（江西南昌）,陈氏（江西新城）,1,娶,0,5842,FALSE,TRUE,external_to_nonfocal_family
万氏（江西德化）,季氏（江苏江阴）,1,娶,0,699,FALSE,TRUE,external_to_nonfocal_family
万氏（江西德化）,蔡氏（江西德化）,1,娶,1,5625,FALSE,TRUE,external_to_nonfocal_family
万氏（浙江仁和）,陈氏（浙江海宁）,1,适,0,4488,FALSE,TRUE,external_to_nonfocal_family
万氏（浙江鄞县工（《海宁渤海陈氏宗谱》卷）,陈氏（浙江海宁）,1,娶,0,4338,FALSE,TRUE,external_to_nonfocal_family
万氏（浙江鄞县）,周氏（湖南长沙）,1,适,1,5325,TRUE,FALSE,external_to_nonfocal_family
万氏（浙江鄞县）,查氏（浙江海宁）,2,娶;适,0,4292;5327,TRUE,TRUE,within_focal_network
万氏（浙江鄞县）,陈氏（浙江海宁（《濠梁万氏宗谱》内集卷）,1,适,0,5328,TRUE,FALSE,external_to_nonfocal_family
万氏（浙江鄞县）,陈氏（浙江海宁）,1,适,0,5326,TRUE,TRUE,within_focal_network
万氏（浙江鄞县）,黄氏（浙江余姚）,1,娶,0,5323,TRUE,FALSE,external_to_nonfocal_family
万氏（湖北应城）,陈氏（湖北安陆）,1,适,0,7170,FALSE,FALSE,external_to_nonfocal_family
严氏（不详）,孙氏（浙江归安）,1,适,1,4082,FALSE,TRUE,external_to_nonfocal_family
严氏（不详）,汪氏（浙江乌程）,1,适,1,4182,FALSE,TRUE,external_to_nonfocal_family
严氏（不详）,沈氏（浙江归安）,1,娶,0,4092,FALSE,TRUE,external_to_nonfocal_family
严氏（安徽来安）,吕氏（安徽旌德）,1,适,0,2721,TRUE,FALSE,external_to_nonfocal_family
严氏（安徽来安）,武氏（安徽来安）,2,娶;适,0,2718;2720,TRUE,TRUE,within_focal_network
严氏（江苏吴县）,潘氏（江苏吴县）,1,适,0,1858,TRUE,TRUE,within_focal_network
严氏（江苏吴县）,王氏（江苏青浦）,2,娶;适,0,1853;2494,TRUE,TRUE,within_focal_network
严氏（江苏吴县）,葛氏（江苏无锡）,1,娶,0,1852,TRUE,FALSE,external_to_nonfocal_family
严氏（江苏吴县）,邓氏（江苏江宁）,2,娶;适,0,569;1857,TRUE,TRUE,within_focal_network
严氏（江苏吴县）,邹氏（江苏元和）,1,适,0,1859,TRUE,FALSE,external_to_nonfocal_family
严氏（江苏吴县）,陈氏（江苏吴江）,1,适,0,2171,TRUE,TRUE,within_focal_network
严氏（江苏吴县）,顾氏（江苏长洲）,2,娶;适,0,1856;1989,TRUE,TRUE,within_focal_network
严氏（江苏吴江）,汪氏（江苏长洲）,1,娶,0,2105,FALSE,TRUE,external_to_nonfocal_family
严氏（江苏嘉定）,俞氏（江苏嘉定）,1,适,1,6783,FALSE,FALSE,external_to_nonfocal_family
严氏（江苏常熟）,何氏（江苏长洲）,1,娶,0,1582,TRUE,FALSE,external_to_nonfocal_family
严氏（江苏常熟）,孙氏（江苏昭文）,1,适,0,1586,TRUE,TRUE,within_focal_network
严氏（江苏常熟）,宋氏（浙江乌程）,1,娶,0,1583,TRUE,FALSE,external_to_nonfocal_family
严氏（江苏常熟）,张氏（江苏昆山）,2,适,0,2265;2267,TRUE,TRUE,within_focal_network
严氏（江苏常熟）,文氏（江苏长洲）,1,娶,0,1581,TRUE,TRUE,within_focal_network
严氏（江苏常熟）,潘氏（江苏长洲）,1,娶,1,1580,TRUE,FALSE,external_to_nonfocal_family
严氏（江苏常熟）,王氏（江苏吴县）,1,适,0,1579,TRUE,FALSE,external_to_nonfocal_family
严氏（江苏常熟）,许氏（江苏常熟）,1,娶,0,1587,TRUE,TRUE,within_focal_network
严氏（江苏常熟）,陈氏（浙江海宁工（《海宁渤海陈氏宗谱》卷）,1,娶,0,1588,TRUE,FALSE,external_to_nonfocal_family
严氏（江苏常熟）,陈氏（浙江海宁）,2,适,0,4455;4456,TRUE,TRUE,within_focal_network
严氏（浙江仁和）,何氏（浙江山阴工80册）,1,娶,0,5203,TRUE,FALSE,external_to_nonfocal_family
严氏（浙江仁和）,何氏（浙江山阴）,1,适,0,5263,TRUE,TRUE,within_focal_network
严氏（浙江仁和）,沈氏（浙江钱塘）,1,适,1,5081,TRUE,TRUE,within_focal_network
严氏（浙江仁和）,王氏（安徽婺源）,1,适,1,3521,TRUE,TRUE,within_focal_network
严氏（浙江仁和）,王氏（浙江余杭）,1,娶,1,5080,TRUE,FALSE,external_to_nonfocal_family
严氏（浙江仁和）,许氏（浙江海宁工72册）,1,娶,0,5202,TRUE,FALSE,external_to_nonfocal_family
严氏（浙江仁和）,许氏（浙江海宁）,1,适,0,4554,TRUE,TRUE,within_focal_network
严氏（浙江仁和）,邵氏（江苏常熟）,2,娶;适,0,1668;5201,TRUE,TRUE,within_focal_network
严氏（浙江仁和）,龚氏（江苏阳湖）,1,适,1,5200,TRUE,FALSE,external_to_nonfocal_family
严氏（浙江余姚）,陆氏（浙江桐乡）,1,适,1,3837,FALSE,TRUE,external_to_nonfocal_family
严氏（浙江余杭工（《海宁渤海陈氏宗谱》卷七）,陈氏（浙江海宁）,1,娶,0,4307,FALSE,TRUE,external_to_nonfocal_family
严氏（浙江归安工45册）,包氏（浙江归安）,1,娶,0,4126,FALSE,TRUE,external_to_nonfocal_family
严氏（浙江归安）,包氏（浙江乌程）,1,适,0,4145,TRUE,FALSE,external_to_nonfocal_family
严氏（浙江归安）,嵇氏（江苏无锡）,1,适,0,1234,TRUE,TRUE,within_focal_network
严氏（浙江归安）,陈氏（浙江海宁）,3,娶;适,0,4144;4310;4407,TRUE,TRUE,within_focal_network
严氏（浙江桐乡工（《高阳许氏家谱》卷三）,许氏（浙江钱塘）,1,娶,0,4668,FALSE,TRUE,external_to_nonfocal_family
严氏（浙江桐乡）,周氏（浙江桐乡）,1,适,1,3786,TRUE,FALSE,external_to_nonfocal_family
严氏（浙江桐乡）,李氏（江苏上元）,1,适,1,6957,TRUE,TRUE,within_focal_network
严氏（浙江桐乡）,沈氏（四川开县）,1,适,0,3787,TRUE,FALSE,external_to_nonfocal_family
严氏（浙江桐乡）,沈氏（浙江归安）,1,适,1,3785,TRUE,TRUE,within_focal_network
严氏（浙江桐乡）,王氏（安徽婺源）,3,娶;适,3,3520;3782;3783,TRUE,TRUE,within_focal_network
严氏（浙江桐乡）,蔡氏（浙江桐乡）,1,娶,0,3781,TRUE,FALSE,external_to_nonfocal_family
严氏（浙江桐乡）,马氏（浙江海宁）,1,适,1,3784,TRUE,FALSE,external_to_nonfocal_family
严氏（浙江秀水）,张氏（浙江嘉兴）,1,娶,0,3778,TRUE,FALSE,external_to_nonfocal_family
严氏（浙江长兴）,潘氏（浙江归安）,1,适,0,6998,FALSE,FALSE,external_to_nonfocal_family
严氏（福建福清）,郑氏（福建建安）,1,适,1,6108,FALSE,TRUE,external_to_nonfocal_family
乔氏（山西徐沟）,刘氏（直隶大兴）,1,适,0,52,FALSE,TRUE,external_to_nonfocal_family
乔氏（江苏宝应）,刘氏（江苏宝应）,4,娶;适,0,381;382;394;397,TRUE,TRUE,within_focal_network
乔氏（江苏宝应）,方氏（安徽桐城）,2,娶;适,0,377;2914,TRUE,TRUE,within_focal_network
乔氏（江苏宝应）,朱氏（江苏宝应）,8,娶;适,0,354;356;359;366;378;379;380;384,TRUE,TRUE,within_focal_network
