entry_no_raw,line_no,anchor_family,anchor_is_focal,partner_family,marriage_type,current_location,left_text,right_text,partner_text,partner_location,has_writings_any,female_writer_family,uncertain_writer,era_hint,source_text
1.,2,张氏（直隶丰润）,TRUE,李氏（安徽合肥）,娶,直隶丰润,张印塘子张佩纶,李鸿章女李经铸（安徽合肥）。,李鸿章女李经铸,安徽合肥,FALSE,NA,FALSE,NA,张印塘子张佩纶【娶】李鸿章女李经铸（安徽合肥）。
2.,3,张氏（直隶丰润）,TRUE,朱氏（浙江仁和）,娶,直隶丰润,张佩纶,朱学勤女朱芷香（浙江仁和）。,朱学勤女朱芷香,浙江仁和,FALSE,NA,FALSE,NA,张佩纶【娶】朱学勤女朱芷香（浙江仁和）。
3.,4,张氏（直隶丰润）,TRUE,李氏（直隶通州）,适,直隶丰润,张印塘女、张佩纶妹,李焕文子李衢亨（直隶通州）。,李焕文子李衢亨,直隶通州,FALSE,NA,FALSE,NA,张印塘女、张佩纶妹【适】李焕文子李衢亨（直隶通州）。
4.,5,张氏（直隶丰润）,TRUE,宗氏（江苏上元）,适,直隶丰润,张印塘女、张佩纶妹,宗得福（江苏上元）,宗得福,江苏上元,FALSE,NA,FALSE,NA,张印塘女、张佩纶妹【适】宗得福（江苏上元）
5.,6,张氏（直隶丰润）,TRUE,黄氏（贵州贵筑）,娶,直隶丰润,张佩纶子张高侯,黄彭年侄孙女、黄国瑾侄女（贵州贵筑）。,黄彭年侄孙女、黄国瑾侄女,贵州贵筑,FALSE,NA,FALSE,NA,张佩纶子张高侯【娶】黄彭年侄孙女、黄国瑾侄女（贵州贵筑）。
6.,7,张氏（直隶丰润）,TRUE,韩氏（山西汾阳）,娶,直隶丰润,张人骏,韩衍桐曾孙女、韩庆均女（山西汾阳）。,韩衍桐曾孙女、韩庆均女,山西汾阳,FALSE,NA,FALSE,NA,张人骏【娶】韩衍桐曾孙女、韩庆均女（山西汾阳）。
7.,8,张氏（直隶丰润）,TRUE,陈氏（江苏江阴）,娶,直隶丰润,张人骏,陈荣绍女、陈名珍妹（江苏江阴）。,陈荣绍女、陈名珍妹,江苏江阴,FALSE,NA,FALSE,NA,张人骏【娶】陈荣绍女、陈名珍妹（江苏江阴）。
8.,9,张氏（直隶丰润）,TRUE,顾氏（江苏太仓）,娶,直隶丰润,张人骏子张允言,顾元爵女（江苏太仓）。,顾元爵女,江苏太仓,FALSE,NA,FALSE,NA,张人骏子张允言【娶】顾元爵女（江苏太仓）。
9.,10,张氏（直隶丰润）,TRUE,王氏（山东福山）,适,直隶丰润,张人骏女,王懿荣子王崇盛（山东福山）。,王懿荣子王崇盛,山东福山,FALSE,NA,FALSE,NA,张人骏女【适】王懿荣子王崇盛（山东福山）。
10.,13,张氏（直隶承德）,TRUE,王氏（浙江海宁）,娶,直隶承德,张履谦子张元毂,王嗣晖（浙江海宁）。,王嗣晖,浙江海宁,FALSE,NA,FALSE,NA,张履谦子张元毂【娶】王嗣晖（浙江海宁）。
11.,14,张氏（直隶承德）,TRUE,尤氏（江苏吴县）,娶,直隶承德,张履豫子张元爵,尤先甲女尤兰因（江苏吴县）。,尤先甲女尤兰因,江苏吴县,FALSE,NA,FALSE,NA,张履豫子张元爵【娶】尤先甲女尤兰因（江苏吴县）。
12.,15,张氏（直隶承德）,TRUE,费氏（江苏吴县）,适,直隶承德,张元毅孙女、张紫东女,费树蔚子（江苏吴县）。,费树蔚子,江苏吴县,FALSE,NA,FALSE,NA,张元毅孙女、张紫东女【适】费树蔚子（江苏吴县）。
13.,18,朱氏（直隶大兴）,TRUE,翁氏（直隶大兴）,适,直隶大兴,朱筠女,翁方纲子翁树端（直隶大兴）。,翁方纲子翁树端,直隶大兴,FALSE,NA,FALSE,NA,朱筠女【适】翁方纲子翁树端（直隶大兴）。
14.,19,朱氏（直隶大兴）,TRUE,龚氏（江苏阳湖）,适,直隶大兴,朱筠女,龚廉子龚怡（江苏阳湖）,龚廉子龚怡,江苏阳湖,FALSE,NA,FALSE,NA,朱筠女【适】龚廉子龚怡（江苏阳湖）
15.,20,朱氏（直隶大兴）,TRUE,徐氏（浙江仁和）,娶,直隶大兴,朱珪子朱集之,徐以炬孙女、徐绍基女（浙江仁和）。,徐以炬孙女、徐绍基女,浙江仁和,FALSE,NA,FALSE,NA,朱珪子朱集之【娶】徐以炬孙女、徐绍基女（浙江仁和）。
16.,21,朱氏（直隶大兴）,TRUE,张氏（直隶宛平）,娶,直隶大兴,朱珪子朱锡纬,张模女（直隶宛平）。,张模女,直隶宛平,FALSE,NA,FALSE,NA,朱珪子朱锡纬【娶】张模女（直隶宛平）。
17.,22,朱氏（直隶大兴）,TRUE,查氏（直隶天津）,娶,直隶大兴,朱珪子朱锡桂,查善长女（直隶天津）。,查善长女,直隶天津,FALSE,NA,FALSE,NA,朱珪子朱锡桂【娶】查善长女（直隶天津）。
18.,23,朱氏（直隶大兴）,TRUE,徐氏（浙江海宁）,娶,直隶大兴,朱锡经,徐景熹女（浙江海宁）。,徐景熹女,浙江海宁,FALSE,NA,FALSE,NA,朱锡经【娶】徐景熹女（浙江海宁）。
19.,24,朱氏（直隶大兴）,TRUE,徐氏（直隶天津）,娶,直隶大兴,朱锡经,徐大楷女（直隶天津）,徐大楷女,直隶天津,FALSE,NA,FALSE,NA,朱锡经【娶】徐大楷女（直隶天津）
20.,25,朱氏（直隶大兴）,TRUE,王氏（陕西韩城）,娶,直隶大兴,朱锡经,王杰女（陕西韩城）。,王杰女,陕西韩城,FALSE,NA,FALSE,NA,朱锡经【娶】王杰女（陕西韩城）。
21.,26,朱氏（直隶大兴）,TRUE,史氏（直隶宛平）,娶,直隶大兴,朱锡级,史全义女（直隶宛平）。,史全义女,直隶宛平,FALSE,NA,FALSE,NA,朱锡级【娶】史全义女（直隶宛平）。
22.,27,朱氏（直隶大兴）,TRUE,陶氏（浙江会稽）,娶,直隶大兴,朱锡彤,陶希贤女（浙江会稽）。,陶希贤女,浙江会稽,FALSE,NA,FALSE,NA,朱锡彤【娶】陶希贤女（浙江会稽）。
23.,28,朱氏（直隶大兴）,TRUE,陈氏（直隶安州）,娶,直隶大兴,朱锡彤,陈筌女（直隶安州）。,陈筌女,直隶安州,FALSE,NA,FALSE,NA,朱锡彤【娶】陈筌女（直隶安州）。
24.,29,朱氏（直隶大兴）,TRUE,刘氏（江西萍乡）,适,直隶大兴,朱锡经女,刘凤诰子刘元恩（江西萍乡）。,刘凤诰子刘元恩,江西萍乡,FALSE,NA,FALSE,NA,朱锡经女【适】刘凤诰子刘元恩（江西萍乡）。
25.,30,朱氏（直隶大兴）,TRUE,周氏（河南商城）,适,直隶大兴,朱澄孙女、朱庭桂女,周祖植子周文伟（河南商城）。,周祖植子周文伟,河南商城,FALSE,NA,FALSE,NA,朱澄孙女、朱庭桂女【适】周祖植子周文伟（河南商城）。
26.,33,翁氏（直隶大兴）,TRUE,朱氏（直隶大兴）,娶,直隶大兴,翁方纲子翁树端,朱筠女（直隶大兴）。,朱筠女,直隶大兴,FALSE,NA,FALSE,NA,翁方纲子翁树端【娶】朱筠女（直隶大兴）。
27.,34,翁氏（直隶大兴）,TRUE,王氏（安徽青阳）,适,直隶大兴,翁方纲女翁树玉,王懿修子王宗诚（安徽青阳）。,王懿修子王宗诚,安徽青阳,FALSE,NA,FALSE,NA,翁方纲女翁树玉【适】王懿修子王宗诚（安徽青阳）。
28.,35,翁氏（直隶大兴）,TRUE,汪氏（直隶献县）,适,直隶大兴,翁方纲女翁树龄,汪源（直隶献县）,汪源,直隶献县,FALSE,NA,FALSE,NA,翁方纲女翁树龄【适】汪源（直隶献县）
29.,38,黄氏（直隶大兴）,TRUE,孔氏（山东曲阜）,娶,直隶大兴,黄叔琳子黄登贤,孔毓圻女（山东曲阜）。,孔毓圻女,山东曲阜,FALSE,NA,FALSE,NA,黄叔琳子黄登贤【娶】孔毓圻女（山东曲阜）。
30.,39,黄氏（直隶大兴）,TRUE,陈氏（浙江海宁）,适,直隶大兴,黄叔瞰女,陈克垂（浙江海宁）。,陈克垂,浙江海宁,FALSE,NA,FALSE,NA,黄叔瞰女【适】陈克垂（浙江海宁）。
31.,40,黄氏（直隶大兴）,TRUE,毕氏（江苏镇洋）,适,直隶大兴,黄叔琳女,毕铺（江苏镇洋）。,毕铺,江苏镇洋,FALSE,NA,FALSE,NA,黄叔琳女【适】毕铺（江苏镇洋）。
32.,41,黄氏（直隶大兴）,TRUE,方氏（安徽桐城）,娶,直隶大兴,黄叔琳孙,方雨畴妹方莲衣（安徽桐城）。,方雨畴妹方莲衣,安徽桐城,FALSE,NA,FALSE,NA,黄叔琳孙【娶】方雨畴妹方莲衣（安徽桐城）。
33.,44,朱氏（直隶大兴）,TRUE,刘氏（浙江山阴）,娶,直隶大兴,朱秉璋,刘之莱（浙江山阴）。,刘之莱,浙江山阴,FALSE,NA,FALSE,NA,朱秉璋【娶】刘之莱（浙江山阴）。
34.,45,朱氏（直隶大兴）,TRUE,冯氏（浙江山阴）,适,直隶大兴,朱秉璋女朱盟珍,冯怡堂（浙江山阴）。,冯怡堂,浙江山阴,FALSE,NA,FALSE,NA,朱秉璋女朱盟珍【适】冯怡堂（浙江山阴）。
35.,48,胡氏（直隶大兴）,TRUE,冯氏（浙江会稽）,适,直隶大兴,胡慎容,冯炬（浙江会稽）,冯炬,浙江会稽,FALSE,NA,FALSE,NA,胡慎容【适】冯炬（浙江会稽）
36.,49,胡氏（直隶大兴）,TRUE,骆氏（浙江诸暨）,适,直隶大兴,胡慎仪,骆炬（浙江诸暨）。,骆炬,浙江诸暨,FALSE,NA,FALSE,NA,胡慎仪【适】骆炬（浙江诸暨）。
37.,52,刘氏（直隶大兴）,TRUE,乔氏（山西徐沟）,适,直隶大兴,刘位坦女,乔松年（山西徐沟）。,乔松年,山西徐沟,FALSE,NA,FALSE,NA,刘位坦女【适】乔松年（山西徐沟）。
38.,53,刘氏（直隶大兴）,TRUE,吴氏（浙江钱塘）,适,直隶大兴,刘位坦女,吴福年（浙江钱塘）。,吴福年,浙江钱塘,FALSE,NA,FALSE,NA,刘位坦女【适】吴福年（浙江钱塘）。
39.,54,刘氏（直隶大兴）,TRUE,黄氏（贵州贵筑）,适,直隶大兴,刘位坦女,黄彭年（贵州贵筑）。,黄彭年,贵州贵筑,FALSE,NA,FALSE,NA,刘位坦女【适】黄彭年（贵州贵筑）。
40.,57,李氏（直隶大兴）,TRUE,王氏（浙江仁和）,娶,直隶大兴,李光涵子李国诱,王堃女（浙江仁和）。,王堃女,浙江仁和,FALSE,NA,FALSE,NA,李光涵子李国诱【娶】王堃女（浙江仁和）。
41.,58,李氏（直隶大兴）,TRUE,张氏（陕西潼关）,适,直隶大兴,李光涵女,张澧中子张树蕃（陕西潼关）,张澧中子张树蕃,陕西潼关,FALSE,NA,FALSE,NA,李光涵女【适】张澧中子张树蕃（陕西潼关）
42.,61,徐氏（直隶大兴）,TRUE,韩氏（山东淄川）,娶,直隶大兴,徐垢,韩镇女、韩理妹（山东淄川）。,韩镇女、韩理妹,山东淄川,FALSE,NA,FALSE,NA,徐垢【娶】韩镇女、韩理妹（山东淄川）。
43.,62,徐氏（直隶大兴）,TRUE,郑氏（安徽歙县）,娶,直隶大兴,徐烦子徐祖培,郑士杰女（安徽歙县）。,郑士杰女,安徽歙县,FALSE,NA,FALSE,NA,徐烦子徐祖培【娶】郑士杰女（安徽歙县）。
44.,63,徐氏（直隶大兴）,TRUE,查氏（直隶宛平）,娶,直隶大兴,徐祖培子徐如衽,查诚孙女、查讷勤女（直隶宛平）,查诚孙女、查讷勤女,直隶宛平,FALSE,NA,FALSE,NA,徐祖培子徐如衽【娶】查诚孙女、查讷勤女（直隶宛平）
45.,66,吴氏（直隶大兴）,TRUE,张氏（安徽桐城）,娶,直隶大兴,吴裕德子吴模,张元长孙女、张聪舆女（安徽桐城）。,张元长孙女、张聪舆女,安徽桐城,FALSE,NA,FALSE,NA,吴裕德子吴模【娶】张元长孙女、张聪舆女（安徽桐城）。
46.,67,吴氏（直隶大兴）,TRUE,陈氏（浙江海宁）,娶,直隶大兴,吴裕德孙、吴肇元子,陈思义女（浙江海宁）。,陈思义女,浙江海宁,FALSE,NA,FALSE,NA,吴裕德孙、吴肇元子【娶】陈思义女（浙江海宁）。
47.,70,李氏（直隶通州）,TRUE,魏氏（直隶昌黎）,娶,直隶通州,李焕文子李衢亨,魏亨采女（直隶昌黎）。,魏亨采女,直隶昌黎,FALSE,NA,FALSE,NA,李焕文子李衢亨【娶】魏亨采女（直隶昌黎）。
48.,71,李氏（直隶通州）,TRUE,张氏（直隶丰润）,娶,直隶通州,李衢亨,张印塘女、张佩纶妹（直隶丰润）。,张印塘女、张佩纶妹,直隶丰润,FALSE,NA,FALSE,NA,李衢亨【娶】张印塘女、张佩纶妹（直隶丰润）。
49.,72,李氏（直隶通州）,TRUE,潘氏（江苏吴县）,娶,直隶通州,李衢亨,潘遵渊女（江苏吴县）,潘遵渊女,江苏吴县,FALSE,NA,FALSE,NA,李衢亨【娶】潘遵渊女（江苏吴县）
50.,73,李氏（直隶通州）,TRUE,陶氏（江苏长洲）,适,直隶通州,李焕文女,陶棵子陶彦寿（江苏长洲）,陶棵子陶彦寿,江苏长洲,FALSE,NA,FALSE,NA,李焕文女【适】陶棵子陶彦寿（江苏长洲）
51.,74,李氏（直隶通州）,TRUE,卓氏（四川华阳）,适,直隶通州,李焕文女,卓秉恬孙、卓松子卓景瀛（四川华阳）。,卓秉恬孙、卓松子卓景瀛,四川华阳,FALSE,NA,FALSE,NA,李焕文女【适】卓秉恬孙、卓松子卓景瀛（四川华阳）。
52.,77,王氏（直隶宛平）,TRUE,米氏（直隶宛平）,适,直隶宛平,王崇简女,米寿都子米汉雯（直隶宛平）。,米寿都子米汉雯,直隶宛平,FALSE,NA,FALSE,NA,王崇简女【适】米寿都子米汉雯（直隶宛平）。
53.,78,王氏（直隶宛平）,TRUE,孔氏（山东曲阜）,适,直隶宛平,王崇简孙女、王熙女,孔毓圻子孔传铎（山东曲阜）。,孔毓圻子孔传铎,山东曲阜,FALSE,NA,FALSE,NA,王崇简孙女、王熙女【适】孔毓圻子孔传铎（山东曲阜）。
54.,79,王氏（直隶宛平）,TRUE,孔氏（山东曲阜）,娶,直隶宛平,王熙孙、王克昌子王则曾,孔传铎女（山东曲阜）。,孔传铎女,山东曲阜,FALSE,NA,FALSE,NA,王熙孙、王克昌子王则曾【娶】孔传铎女（山东曲阜）。
