family_id,location,province,core_region,is_focal_family,unweighted_degree,weighted_degree,betweenness,eigenvector,component_id,in_giant_component,confirmed_female_writer_count,literary_clue_count,uncertain_literary_clue_count,has_confirmed_female_writer,literary_norm,female_norm,female_binary,LCP_main_0604,LCP_equal_0505,LCP_literary_heavy_0802,LCP_female_heavy_0208,LCP_binary_female_0703,record_exposure_log,z_weighted_degree,z_unweighted_degree,z_betweenness,z_eigenvector,z_record_exposure,LCP_pca
张氏（安徽桐城）,安徽桐城,安徽,安徽,TRUE,57,309,0.04160513229308409,0.9841886928019608,3,TRUE,9,9,0,1,0.744921859773347,0.7563041955164012,1,0.7494747940705687,0.7506130276448741,0.7471983269219579,0.7540277283677904,0.8214453018413428,5.736572297479192,23.86902490442356,10.753346432934691,4.331166196870684,34.252994232366845,6.505874878298549,0.2147991126121852
姚氏（安徽桐城）,安徽桐城,安徽,安徽,TRUE,48,307,0.07268228697937931,1,3,TRUE,9,9,0,1,0.744921859773347,0.7563041955164012,1,0.7494747940705687,0.7506130276448741,0.7471983269219579,0.7540277283677904,0.8214453018413428,5.730099782973574,23.71259585574008,8.973675861875984,7.671958262943918,34.80402569215836,6.496758173647944,0.2147991126121852
陈氏（浙江海宁）,浙江海宁,浙江,浙江,TRUE,126,246,0.2812496797852322,0.00217451304195649,3,TRUE,20,21,1,1,1,1,1,1,1,1,1,1,5.5093883366279774,18.941509870893874,24.397487477718112,30.092939146198574,0.029340221253433277,6.185880373745895,0
方氏（安徽桐城）,安徽桐城,安徽,安徽,TRUE,66,194,0.15321959374336408,0.4766881158984465,3,TRUE,10,10,0,1,0.7757561757824245,0.7876096569652562,1,0.7804975682555573,0.7816829163738404,0.7781268720189909,0.7852389607286899,0.8430293230476971,5.272999558563747,14.874354605123338,12.533017003993399,16.329713394519047,16.566361480657456,5.852920645272763,0.188043978521092
庄氏（江苏武进）,江苏武进,江苏,江苏,TRUE,72,169,0.1566226392795853,0.01578100440815004,3,TRUE,2,2,0,1,0.35541805240316376,0.3608488067145302,1,0.35759035412771034,0.35813342955884697,0.3565042032654371,0.3597626558522569,0.5487926366822147,5.135798437050262,12.918991496579812,13.71946405136587,16.695540563790352,0.5035328168589408,5.659669305088898,0.5527740685707556
任氏（江苏宜兴）,江苏宜兴,江苏,江苏,TRUE,44,114,0.05172720243309628,6.210292185395716e-4,3,TRUE,4,4,0,1,0.5206780355557714,0.5286339468194481,1,0.5238604000612421,0.5246559911876097,0.5222692178085068,0.5270427645667128,0.66447462488904,4.74493212836325,8.617192657784054,8.18271116362767,5.419288065083477,-0.02479941744045554,5.109123965858114,0.40937691950352345
孔氏（山东曲阜）,山东曲阜,山东,Other,TRUE,54,109,0.2318450898461516,0.02233615813180649,3,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,4.700480365792417,8.226120036075349,10.160122909248456,24.781949006909283,0.7319829937015067,5.046512504701039,1
许氏（浙江钱塘）,浙江钱塘,浙江,浙江,TRUE,59,100,0.05598956433357065,0.00249150792870754,3,TRUE,3,4,1,1,0.5206780355557714,0.455340497393906,1,0.4945430202910252,0.48800926647483867,0.5076105279233983,0.46840800502627905,0.66447462488904,4.61512051684126,7.522189316999679,11.14882878205885,5.877491686476049,0.04038764149548249,4.926280942263832,0.44071787342015717
潘氏（江苏吴县）,江苏吴县,江苏,江苏,TRUE,39,89,0.0487007655410064,0.00272760928019367,3,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,4.499809670330265,6.661829549240528,7.194005290817278,5.093946300059411,0.048615884153640786,4.7638626224996194,1
汪氏（浙江钱塘）,浙江钱塘,浙江,浙江,TRUE,44,88,0.07108474569154401,9.25667534335615e-5,3,TRUE,12,12,0,1,0.8298007536825655,0.8424800309172651,1,0.8348724645764454,0.8361403922999153,0.8323366091295055,0.8399441754703252,0.8808605275777959,4.48863636973214,6.583615024898786,8.18271116362767,7.500222680536234,-0.04321658181181749,4.748124738646734,0.14114915107659418
查氏（浙江海宁）,浙江海宁,浙江,浙江,TRUE,36,81,0.08089706570541669,0.00271736923734564,3,TRUE,6,6,0,1,0.6295320036582305,0.6391511932854698,1,0.6333796795091262,0.6343415984718501,0.6314558415836784,0.6372273553600218,0.7406724025607613,4.406719247264253,6.036113354506599,6.600781767131042,8.55504643074827,0.04825901386529565,4.632742345804056,0.3149236320665172
储氏（江苏宜兴）,江苏宜兴,江苏,江苏,TRUE,30,62,0.05162858313071375,2.080170300339165e-4,3,TRUE,2,2,0,1,0.35541805240316376,0.3608488067145302,1,0.35759035412771034,0.35813342955884697,0.3565042032654371,0.3597626558522569,0.5487926366822147,4.143134726391533,4.550037392013518,5.41433471975857,5.408686496623076,-0.03919308561054725,4.261476707823327,0.5527740685707556
吕氏（江苏阳湖）,江苏阳湖,江苏,江苏,TRUE,30,62,0.02145083927271824,0.00301595207406963,3,TRUE,4,4,0,1,0.5206780355557714,0.5286339468194481,1,0.5238604000612421,0.5246559911876097,0.5222692178085068,0.5270427645667128,0.66447462488904,4.143134726391533,4.550037392013518,5.41433471975857,2.1645810348949013,0.05866476554211557,4.261476707823327,0.40937691950352345
彭氏（江苏长洲）,江苏长洲,江苏,江苏,TRUE,33,59,0.06508654884380187,8.188731585042969e-4,3,TRUE,2,2,0,1,0.35541805240316376,0.3608488067145302,1,0.35759035412771034,0.35813342955884697,0.3565042032654371,0.3597626558522569,0.5487926366822147,4.0943445622221,4.315393818988295,6.007558243444806,6.85541691752604,-0.017904463488565545,4.19275449542795,0.5527740685707556
吴氏（浙江钱塘）,浙江钱塘,浙江,浙江,TRUE,37,56,0.03645519927917722,9.539956883823148e-5,3,TRUE,4,4,0,1,0.5206780355557714,0.5286339468194481,1,0.5238604000612421,0.5246559911876097,0.5222692178085068,0.5270427645667128,0.66447462488904,4.04305126783455,4.080750245963071,6.79852294169312,3.777548739695433,-0.04311785686844603,4.120506559161151,0.40937691950352345
陈氏（江西新城）,江西新城,江西,Other,TRUE,35,56,0.02631757952961223,0.00523709642126255,3,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,4.04305126783455,4.080750245963071,6.4030405925689635,2.6877552894877983,0.13607268613410584,4.120506559161151,1
钱氏（浙江秀水）,浙江秀水,浙江,浙江,TRUE,33,52,0.02153917388638905,2.9199557659207267e-4,3,TRUE,10,10,0,1,0.7757561757824245,0.7876096569652562,1,0.7804975682555573,0.7816829163738404,0.7781268720189909,0.7852389607286899,0.8430293230476971,3.970291913552122,3.767892148596107,6.007558243444806,2.1740770000014247,-0.03626639393847291,4.018023120462657,0.188043978521092
赵氏（江苏阳湖）,江苏阳湖,江苏,江苏,TRUE,22,49,0.04934429208839335,0.00108542768132802,3,TRUE,2,2,0,1,0.35541805240316376,0.3608488067145302,1,0.35759035412771034,0.35813342955884697,0.3565042032654371,0.3597626558522569,0.5487926366822147,3.912023005428146,3.5332485755708842,3.8324053232619417,5.163125361190317,-0.008614913549025991,3.935949851222637,0.5527740685707556
朱氏（浙江海盐）,浙江海盐,浙江,浙江,TRUE,26,48,0.02690664169340299,8.160195246573699e-4,3,TRUE,3,3,0,1,0.4484876484351508,0.455340497393906,1,0.45122878801865285,0.4519140729145284,0.44985821822690186,0.45396992760215493,0.6139413539046055,3.8918202981106265,3.455034051229143,4.623370021510256,2.7510794329971118,-0.018003913964398287,3.907493813681652,0.472016982183413
顾氏（江苏长洲）,江苏长洲,江苏,江苏,TRUE,25,47,0.01976471300222111,0.00504271367601827,3,TRUE,1,1,0,1,0.2242438242175754,0.227670248696953,1,0.22561439400932642,0.2259570364572642,0.22492910911345093,0.22698496380107747,0.45697067695230276,3.871201010907891,3.376819526887402,4.425628846948177,1.9833225727307773,0.12929835643899243,3.8784510125615967,0.6665947890747511
李氏（安徽合肥）,安徽合肥,安徽,安徽,TRUE,22,44,0.02039065895201564,6.315545379311057e-5,3,TRUE,3,3,0,1,0.4484876484351508,0.455340497393906,1,0.45122878801865285,0.4519140729145284,0.44985821822690186,0.45396992760215493,0.6139413539046055,3.8066624897703196,3.142175953862179,3.8324053232619417,2.0506117207873857,-0.04424157937667748,3.78754683068802,0.472016982183413
王氏（江苏华亭）,江苏华亭,江苏,江苏,TRUE,19,42,0.01620223675223013,4.90105270312655e-4,3,TRUE,2,2,0,1,0.35541805240316376,0.3608488067145302,1,0.35759035412771034,0.35813342955884697,0.3565042032654371,0.3597626558522569,0.5487926366822147,3.7612001156935624,2.9857469051786967,3.239181799575706,1.6003566123112203,-0.02936217834374714,3.7235118969982834,0.5527740685707556
刘氏（江苏武进）,江苏武进,江苏,江苏,TRUE,21,41,0.01021600675985844,0.00310408608947668,3,TRUE,1,1,0,1,0.2242438242175754,0.227670248696953,1,0.22561439400932642,0.2259570364572642,0.22492910911345093,0.22698496380107747,0.45697067695230276,3.7376696182833684,2.9075323808369555,3.634664148699863,0.9568372854590658,0.06173627724944974,3.690368580751659,0.6665947890747511
方氏（江苏阳湖）,江苏阳湖,江苏,江苏,TRUE,30,39,0.0112630837846919,3.655656639707965e-4,3,TRUE,5,5,0,1,0.5796618766207391,0.5885190554114832,1,0.5832047481370367,0.5840904660161111,0.581433312378888,0.5867476196533344,0.7057633136345174,3.6888794541139363,2.7511033321534737,5.41433471975857,1.069397996130362,-0.033702441942757164,3.6216463683562825,0.35819626167941765
许氏（浙江海宁）,浙江海宁,浙江,浙江,TRUE,23,39,0.01889238766513872,3.782158011332849e-4,3,TRUE,2,2,0,1,0.35541805240316376,0.3608488067145302,1,0.35759035412771034,0.35813342955884697,0.3565042032654371,0.3597626558522569,0.5487926366822147,3.6888794541139363,2.7511033321534737,4.0301464978240205,1.8895476568938179,-0.033261578738981494,3.6216463683562825,0.5527740685707556
金氏（浙江仁和）,浙江仁和,浙江,浙江,TRUE,22,38,0.01449108597067399,2.6142842764366914e-4,3,TRUE,3,3,0,1,0.4484876484351508,0.455340497393906,1,0.45122878801865285,0.4519140729145284,0.44985821822690186,0.45396992760215493,0.6139413539046055,3.6635616461296463,2.6728888078117325,3.8324053232619417,1.4164080168692206,-0.03733167339296307,3.5859855787832102,0.472016982183413
朱氏（江苏宝应）,江苏宝应,江苏,江苏,TRUE,12,34,0.01351515285946229,2.2021168495491616e-4,3,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,3.5553480614894135,2.3600307104447684,1.854993577641156,1.311495272190184,-0.03876809617617553,3.433563936546345,1
林氏（福建侯官）,福建侯官,福建,Other,TRUE,15,34,0.0141629330716873,5.751234495577331e-6,3,TRUE,2,2,0,1,0.35541805240316376,0.3608488067145302,1,0.35759035412771034,0.35813342955884697,0.3565042032654371,0.3597626558522569,0.5487926366822147,3.5553480614894135,2.3600307104447684,2.4482171013273915,1.3811316020088498,-0.04624214329979413,3.433563936546345,0.5527740685707556
秦氏（江苏无锡）,江苏无锡,江苏,江苏,TRUE,23,34,0.0113239951698084,9.652001287206076e-5,3,TRUE,3,3,0,1,0.4484876484351508,0.455340497393906,1,0.45122878801865285,0.4519140729145284,0.44985821822690186,0.45396992760215493,0.6139413539046055,3.5553480614894135,2.3600307104447684,4.0301464978240205,1.075945965987476,-0.043078808869198244,3.433563936546345,0.472016982183413
梁氏（福建长乐）,福建长乐,福建,Other,TRUE,20,33,0.02524851306573399,9.66584294538243e-5,3,TRUE,10,10,0,1,0.7757561757824245,0.7876096569652562,1,0.7804975682555573,0.7816829163738404,0.7781268720189909,0.7852389607286899,0.8430293230476971,3.5263605246161616,2.2818161861030273,3.4369229741377842,2.572830715578707,-0.04307398498650763,3.3927342385993446,0.188043978521092
沈氏（浙江嘉兴）,浙江嘉兴,浙江,浙江,TRUE,24,32,0.0086903741846724,7.465018867525202e-5,3,TRUE,2,2,0,1,0.35541805240316376,0.3608488067145302,1,0.35759035412771034,0.35813342955884697,0.3565042032654371,0.3597626558522569,0.5487926366822147,3.4965075614664802,2.203601661761286,4.227887672386099,0.7928318848883353,-0.0438409824834106,3.350685565283155,0.5527740685707556
张氏（江苏娄县）,江苏娄县,江苏,江苏,TRUE,20,31,0.02007651758849335,2.5336200936173126e-4,3,TRUE,2,2,0,1,0.35541805240316376,0.3608488067145302,1,0.35759035412771034,0.35813342955884697,0.3565042032654371,0.3597626558522569,0.5487926366822147,3.4657359027997265,2.125387137419545,3.4369229741377842,2.016841545059442,-0.03761279184733959,3.307342885489928,0.5527740685707556
陶氏（湖南安化）,湖南安化,湖南,Other,TRUE,15,31,0.03648494907027451,2.2414026035172488e-4,3,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,3.4657359027997265,2.125387137419545,2.4482171013273915,3.7807468402637903,-0.038631183483967955,3.307342885489928,1
