family_id,location,province,core_region,is_focal_family,unweighted_degree,weighted_degree,betweenness,eigenvector,component_id,in_giant_component
"Zhang family, Tongcheng, Anhui","Tongcheng, Anhui",Anhui,Anhui,TRUE,57,309,0.04160513229308409,0.9841886928019608,3,TRUE
"Yao family, Tongcheng, Anhui","Tongcheng, Anhui",Anhui,Anhui,TRUE,48,307,0.07268228697937931,1,3,TRUE
"Chen family, Haining, Zhejiang","Haining, Zhejiang",Zhejiang,Zhejiang,TRUE,126,246,0.2812496797852322,0.00217451304195649,3,TRUE
"Fang family, Tongcheng, Anhui","Tongcheng, Anhui",Anhui,Anhui,TRUE,66,194,0.15321959374336408,0.4766881158984465,3,TRUE
"Zhuang family, Wujin, Jiangsu","Wujin, Jiangsu",Jiangsu,Jiangsu,TRUE,72,169,0.1566226392795853,0.01578100440815004,3,TRUE
"Ren family, Yixing, Jiangsu","Yixing, Jiangsu",Jiangsu,Jiangsu,TRUE,44,114,0.05172720243309628,6.210292185395716e-4,3,TRUE
"Kong family, Qufu, Shandong","Qufu, Shandong",Shandong,Other,TRUE,54,109,0.2318450898461516,0.02233615813180649,3,TRUE
"Xu family, Qiantang, Zhejiang","Qiantang, Zhejiang",Zhejiang,Zhejiang,TRUE,59,100,0.05598956433357065,0.00249150792870754,3,TRUE
"Pan family, Wuxian, Jiangsu","Wuxian, Jiangsu",Jiangsu,Jiangsu,TRUE,39,89,0.0487007655410064,0.00272760928019367,3,TRUE
"Wang family, Qiantang, Zhejiang","Qiantang, Zhejiang",Zhejiang,Zhejiang,TRUE,44,88,0.07108474569154401,9.25667534335615e-5,3,TRUE
"cha family, Haining, Zhejiang","Haining, Zhejiang",Zhejiang,Zhejiang,TRUE,36,81,0.08089706570541669,0.00271736923734564,3,TRUE
"chu family, Yixing, Jiangsu","Yixing, Jiangsu",Jiangsu,Jiangsu,TRUE,30,62,0.05162858313071375,2.080170300339165e-4,3,TRUE
"lu family, Yanghu, Jiangsu","Yanghu, Jiangsu",Jiangsu,Jiangsu,TRUE,30,62,0.02145083927271824,0.00301595207406963,3,TRUE
"peng family, zhang zhou, Jiangsu","zhang zhou, Jiangsu",Jiangsu,Jiangsu,TRUE,33,59,0.06508654884380187,8.188731585042969e-4,3,TRUE
