dependent_variable,model,term,estimate,std_error,p_value,direction,significant_005,n,r_squared
LCP_main_0604,Model_1_weighted_degree,z_weighted_degree,0.03869906514223037,0.00935537640723675,0.05846804490426096,positive,No,655,0.1519346503476526
LCP_main_0604,Model_2_centrality,z_weighted_degree,0.08540931660896525,0.022990137824968008,0.038860047904087786,positive,Yes,655,0.17368927705192241
LCP_main_0604,Model_2_centrality,z_betweenness,-0.026817125223267235,0.010096796358114583,0.07558789681126094,negative,No,655,0.17368927705192241
LCP_main_0604,Model_2_centrality,z_eigenvector,-0.032840666093262534,0.019261977058772344,0.19017863202680468,negative,No,655,0.17368927705192241
LCP_main_0604,Model_3_exposure_adjusted,z_unweighted_degree,0.08250417597875742,0.0074205037443007,0.0011119489437473927,positive,Yes,655,0.2276534214504787
LCP_main_0604,Model_3_exposure_adjusted,z_betweenness,-0.039300229042862886,0.007845446480063627,0.014173852023102325,negative,Yes,655,0.2276534214504787
LCP_main_0604,Model_3_exposure_adjusted,z_eigenvector,0.0029625222684212453,0.009181466878852452,0.790740109698985,positive,No,655,0.2276534214504787
LCP_main_0604,Model_3_exposure_adjusted,z_record_exposure,0.004465318764548105,0.011830386823931074,0.7283343883349076,positive,No,655,0.2276534214504787
LCP_main_0604,Model_4_unweighted_degree,z_unweighted_degree,0.0856301523899738,0.009661103731967472,0.00385664327522573,positive,Yes,655,0.2274984458952192
LCP_main_0604,Model_4_unweighted_degree,z_betweenness,-0.0403371898047613,0.008399393704931722,0.01683013649939383,negative,Yes,655,0.2274984458952192
LCP_main_0604,Model_4_unweighted_degree,z_eigenvector,0.003005283248762629,0.008879297441336328,0.7813330383987036,positive,No,655,0.2274984458952192
LCP_equal_0505,Model_1_weighted_degree,z_weighted_degree,0.038726335938959154,0.00933125359951737,0.05813067725389036,positive,No,655,0.15182587257129426
LCP_equal_0505,Model_2_centrality,z_weighted_degree,0.08543196459847215,0.022909917412207974,0.038511013792722426,positive,Yes,655,0.17350412455381486
LCP_equal_0505,Model_2_centrality,z_betweenness,-0.02682864447275231,0.010084446859423725,0.07530213921018866,negative,No,655,0.17350412455381486
LCP_equal_0505,Model_2_centrality,z_eigenvector,-0.03282250343822586,0.01923164620445123,0.18984877480130136,negative,No,655,0.17350412455381486
LCP_equal_0505,Model_3_exposure_adjusted,z_unweighted_degree,0.08243573975114739,0.007520080544796672,0.0011628028321552788,positive,Yes,655,0.22739365416672574
LCP_equal_0505,Model_3_exposure_adjusted,z_betweenness,-0.03928990620715665,0.007887658720917514,0.014400731336560247,negative,Yes,655,0.22739365416672574
LCP_equal_0505,Model_3_exposure_adjusted,z_eigenvector,0.0029871989704098345,0.009194801000068626,0.7893857766124681,positive,No,655,0.22739365416672574
LCP_equal_0505,Model_3_exposure_adjusted,z_record_exposure,0.004612294536439231,0.011892423197552947,0.7213118931584284,positive,No,655,0.22739365416672574
LCP_equal_0505,Model_4_unweighted_degree,z_unweighted_degree,0.08566460753925713,0.009670164655439732,0.003862301610600512,positive,Yes,655,0.22722875140275017
LCP_equal_0505,Model_4_unweighted_degree,z_betweenness,-0.04036099848719235,0.008426371788726045,0.016951387652018843,negative,Yes,655,0.22722875140275017
LCP_equal_0505,Model_4_unweighted_degree,z_eigenvector,0.0030313674265494486,0.008883469676046411,0.7796520672790351,positive,No,655,0.22722875140275017
LCP_literary_heavy_0802,Model_1_weighted_degree,z_weighted_degree,0.03864452354877273,0.00940366094236795,0.05914668069797116,positive,No,655,0.15214643108618983
LCP_literary_heavy_0802,Model_2_centrality,z_weighted_degree,0.08536402062995134,0.023150999729174303,0.03956487863209826,positive,Yes,655,0.17405395255846345
