strategy,fraction_removed,largest_component_ratio,random_sd
targeted_high_weighted_degree,0,0.8306213017751479,NA
targeted_high_weighted_degree,0.05,0.3367068898404048,NA
targeted_high_weighted_degree,0.1,0.03410024650780608,NA
targeted_high_weighted_degree,0.15000000000000002,0.007394519356241845,NA
targeted_high_weighted_degree,0.2,0.0036968576709796672,NA
targeted_high_weighted_degree,0.25,0.002465483234714004,NA
targeted_high_weighted_degree,0.30000000000000004,0.0021130480718436345,NA
targeted_high_weighted_degree,0.35000000000000003,0.0017064846416382253,NA
targeted_high_weighted_degree,0.4,0.0012322858903265558,NA
targeted_high_weighted_degree,0.45,0.0013440860215053765,NA
targeted_high_weighted_degree,0.5,0.0014792899408284023,NA
random_removal_mean,0,0.8306213017751479,0
random_removal_mean,0.05,0.7983145192681977,0.009532013931768338
random_removal_mean,0.1,0.764671322925226,0.01395256860386529
random_removal_mean,0.15000000000000002,0.728882122662027,0.01742833652103926
random_removal_mean,0.2,0.6956885397412199,0.018437955967956336
random_removal_mean,0.25,0.6600443786982249,0.023898532440942786
random_removal_mean,0.30000000000000004,0.6204226096143687,0.023316592071917584
random_removal_mean,0.35000000000000003,0.5833048919226393,0.027387104858134646
random_removal_mean,0.4,0.5368576709796673,0.031524460826123035
random_removal_mean,0.45,0.48846774193548387,0.03534431268063704
random_removal_mean,0.5,0.445310650887574,0.03572945589685781
