dependent_variable,model,term,estimate,std_error,p_value,direction,significant_005,n,r_squared
LCP_main_0604,Model_1_weighted_degree,z_weighted_degree,0.03869906514223037,0.00935537640723675,0.05846804490426096,positive,No,655,0.1519346503476526
LCP_main_0604,Model_2_centrality,z_weighted_degree,0.08540931660896525,0.022990137824968,0.03886004790408778,positive,Yes,655,0.17368927705192241
LCP_main_0604,Model_2_centrality,z_betweenness,-0.02681712522326723,0.01009679635811458,0.07558789681126094,negative,No,655,0.17368927705192241
LCP_main_0604,Model_2_centrality,z_eigenvector,-0.03284066609326253,0.01926197705877234,0.19017863202680468,negative,No,655,0.17368927705192241
LCP_main_0604,Model_3_exposure_adjusted,z_unweighted_degree,0.08250417597875742,0.0074205037443007,0.00111194894374739,positive,Yes,655,0.2276534214504787
LCP_main_0604,Model_3_exposure_adjusted,z_betweenness,-0.03930022904286288,0.00784544648006362,0.01417385202310232,negative,Yes,655,0.2276534214504787
LCP_main_0604,Model_3_exposure_adjusted,z_eigenvector,0.00296252226842124,0.00918146687885245,0.790740109698985,positive,No,655,0.2276534214504787
LCP_main_0604,Model_3_exposure_adjusted,z_record_exposure,0.0044653187645481,0.01183038682393107,0.7283343883349076,positive,No,655,0.2276534214504787
LCP_main_0604,Model_4_unweighted_degree,z_unweighted_degree,0.0856301523899738,0.00966110373196747,0.00385664327522573,positive,Yes,655,0.2274984458952192
LCP_main_0604,Model_4_unweighted_degree,z_betweenness,-0.0403371898047613,0.00839939370493172,0.01683013649939383,negative,Yes,655,0.2274984458952192
LCP_main_0604,Model_4_unweighted_degree,z_eigenvector,0.00300528324876262,0.00887929744133632,0.7813330383987036,positive,No,655,0.2274984458952192
LCP_equal_0505,Model_1_weighted_degree,z_weighted_degree,0.03872633593895915,0.00933125359951737,0.05813067725389036,positive,No,655,0.15182587257129426
LCP_equal_0505,Model_2_centrality,z_weighted_degree,0.08543196459847215,0.02290991741220797,0.03851101379272242,positive,Yes,655,0.17350412455381486
LCP_equal_0505,Model_2_centrality,z_betweenness,-0.02682864447275231,0.01008444685942372,0.07530213921018866,negative,No,655,0.17350412455381486
LCP_equal_0505,Model_2_centrality,z_eigenvector,-0.03282250343822586,0.01923164620445123,0.18984877480130136,negative,No,655,0.17350412455381486
LCP_equal_0505,Model_3_exposure_adjusted,z_unweighted_degree,0.08243573975114739,0.00752008054479667,0.00116280283215527,positive,Yes,655,0.22739365416672577
LCP_equal_0505,Model_3_exposure_adjusted,z_betweenness,-0.03928990620715665,0.00788765872091751,0.01440073133656024,negative,Yes,655,0.22739365416672577
LCP_equal_0505,Model_3_exposure_adjusted,z_eigenvector,0.00298719897040983,0.00919480100006862,0.7893857766124681,positive,No,655,0.22739365416672577
